location,iso_code,last_observation_date,source_name,source_website
Algeria,DZA,2022-12-23,Ministry of Health via github.com/yasserkaddour/covid19-icu-data-algeria/,https://github.com/yasserkaddour/covid19-icu-data-algeria/
Argentina,ARG,2022-04-24,"Government of Argentina, via Rodrigo Maidana",https://www.argentina.gob.ar/coronavirus/informes-diarios/reportes
Australia,AUS,2023-10-26,Official data from states via covidbaseau.com,https://covidbaseau.com
Austria,AUT,2023-06-30,Austrian Agency for Health and Food Safety,https://covid19-dashboard.ages.at/
Belgium,BEL,2023-06-27,Sciensano,https://epistat.sciensano.be/
Bolivia,BOL,2022-10-13,"Ministry of Health, via Sociedatos on GitHub",https://github.com/sociedatos/bo-hospitalizados_por_departamento
Bulgaria,BGR,2023-10-22,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Canada,CAN,2023-11-28,Government of Canada,https://health-infobase.canada.ca/covid-19/
Chile,CHL,2023-08-31,"Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19
